input_size,asserts,metric,min,max,mean,stddev
100,100,write_vk,0.030,0.060,0.036,0.012
100,100,prove,0.100,0.110,0.102,0.004
100,100,verify,0.020,0.020,0.020,0.000
100,100,spartan_proof,0.064,0.069,0.066,0.002
100,100,spartan_verify,0.038,0.039,0.038,0.000
1000,100,write_vk,0.050,0.080,0.056,0.012
1000,100,prove,0.170,0.170,0.170,0.000
1000,100,verify,0.020,0.030,0.022,0.004
1000,100,spartan_proof,0.104,0.111,0.108,0.002
1000,100,spartan_verify,0.059,0.062,0.060,0.001
10000,100,write_vk,0.150,0.160,0.154,0.005
10000,100,prove,0.400,0.420,0.414,0.008
10000,100,verify,0.020,0.020,0.020,0.000
10000,100,spartan_proof,0.480,0.501,0.488,0.007
10000,100,spartan_verify,0.259,0.266,0.263,0.003
100000,100,write_vk,1.230,1.260,1.250,0.011
100000,100,prove,3.650,3.790,3.710,0.049
100000,100,verify,0.020,0.020,0.020,0.000
100000,100,spartan_proof,4.040,4.400,4.206,0.143
100000,100,spartan_verify,2.220,2.260,2.234,0.014
