input_size,asserts,metric,min,max,mean,stddev
100,100,write_vk,0.030,0.030,0.030,0.000
100,100,prove,0.100,0.100,0.100,0.000
100,100,verify,0.020,0.020,0.020,0.000
100,100,spartan_proof,0.065,0.071,0.068,0.002
100,100,spartan_verify,0.037,0.044,0.040,0.002
1000,100,write_vk,0.050,0.050,0.050,0.000
1000,100,prove,0.170,0.190,0.176,0.008
1000,100,verify,0.020,0.020,0.020,0.000
1000,100,spartan_proof,0.104,0.115,0.110,0.004
1000,100,spartan_verify,0.056,0.061,0.058,0.002
10000,100,write_vk,0.150,0.160,0.152,0.004
10000,100,prove,0.420,0.440,0.428,0.007
10000,100,verify,0.020,0.020,0.020,0.000
10000,100,spartan_proof,0.455,0.472,0.463,0.006
10000,100,spartan_verify,0.243,0.252,0.248,0.003
100000,100,write_vk,1.240,1.280,1.250,0.015
100000,100,prove,3.700,3.890,3.772,0.071
100000,100,verify,0.020,0.020,0.020,0.000
100000,100,spartan_proof,3.820,4.080,3.912,0.090
100000,100,spartan_verify,2.060,2.210,2.126,0.053
