input_size,asserts,metric,min,max,mean,stddev
100,100,write_vk,0.030,0.340,0.094,0.123
100,100,prove,0.100,0.100,0.100,0.000
100,100,verify,0.020,0.020,0.020,0.000
100,100,spartan_proof,0.060,0.068,0.066,0.003
100,100,spartan_verify,0.037,0.038,0.037,0.000
1000,100,write_vk,0.050,0.050,0.050,0.000
1000,100,prove,0.160,0.170,0.168,0.004
1000,100,verify,0.020,0.020,0.020,0.000
1000,100,spartan_proof,0.091,0.111,0.103,0.009
1000,100,spartan_verify,0.055,0.056,0.055,0.000
10000,100,write_vk,0.150,0.150,0.150,0.000
10000,100,prove,0.400,0.400,0.400,0.000
10000,100,verify,0.020,0.020,0.020,0.000
10000,100,spartan_proof,0.436,0.447,0.443,0.004
10000,100,spartan_verify,0.234,0.244,0.239,0.004
100000,100,write_vk,1.190,1.210,1.202,0.007
100000,100,prove,3.500,3.580,3.542,0.027
100000,100,verify,0.020,0.030,0.022,0.004
100000,100,spartan_proof,3.640,3.670,3.652,0.010
100000,100,spartan_verify,2.010,2.050,2.030,0.014
